GapID,Área,Funcionalidade,Status Atual,Impacto,Evidência,Dependências,Owner,Prioridade,Marco Sugerido,Critérios de Aceite
GAP-001,Backend,Sistema de Integrações e Webhooks,Não implementado,Crítico,ANALISE_COMPARATIVA_FUNCIONALIDADES_RENUM.md,"Auth/JWT, DB, Observabilidade",Kiro,P1,Fase 1,"- Receber, validar, registrar e responder webhooks com latência p50 < 200ms; métricas por integração; rate limiting por chave; retries com backoff."
GAP-002,Backend,"Endpoints específicos (WhatsApp, Telegram, Zapier, n8n, Make)",Não implementado,Crítico,ANALISE_COMPARATIVA_FUNCIONALIDADES_RENUM.md,GAP-001,Kiro,P1,Fase 1,"- Receber, validar, registrar e responder webhooks com latência p50 < 200ms; métricas por integração; rate limiting por chave; retries com backoff."
GAP-003,Backend,Rate limiting avançado por integração,Parcial,Alto,ANALISE_COMPARATIVA_FUNCIONALIDADES_RENUM.md; RELATORIO_ANALISE_IMPLEMENTACAO_RENUM.md,GAP-001,Kiro,P1,Fase 1,"- Receber, validar, registrar e responder webhooks com latência p50 < 200ms; métricas por integração; rate limiting por chave; retries com backoff."
GAP-004,Backend,Analytics de integrações e logs de webhooks,Não implementado,Alto,ANALISE_COMPARATIVA_FUNCIONALIDADES_RENUM.md,GAP-001,Kiro,P1,Fase 1,"- Receber, validar, registrar e responder webhooks com latência p50 < 200ms; métricas por integração; rate limiting por chave; retries com backoff."
GAP-005,Backend,"Sistema RAG completo (bases, coleções, documentos, chunking)",Não implementado,Crítico,ANALISE_COMPARATIVA_FUNCIONALIDADES_RENUM.md,"DB Vetorial, serviço de embeddings",Kiro,P1,Fase 2,- Upload de documentos >100MB; chunking configurável; top-k semântico em <300ms; contexto gerado com precisão validada por amostras; endpoints REST documentados.
GAP-006,Backend,Busca semântica e geração de contexto,Não implementado,Crítico,ANALISE_COMPARATIVA_FUNCIONALIDADES_RENUM.md,GAP-005,Kiro,P1,Fase 2,- Upload de documentos >100MB; chunking configurável; top-k semântico em <300ms; contexto gerado com precisão validada por amostras; endpoints REST documentados.
GAP-007,Backend,Serviço de embeddings e armazenamento vetorial,Não implementado,Alto,ANALISE_COMPARATIVA_FUNCIONALIDADES_RENUM.md,GAP-005,Kiro,P1,Fase 2,- Upload de documentos >100MB; chunking configurável; top-k semântico em <300ms; contexto gerado com precisão validada por amostras; endpoints REST documentados.
GAP-008,Backend,Sistema de notificações (CRUD + persistência),Parcial,Alto,RELATORIO_ANALISE_IMPLEMENTACAO_RENUM.md,WebSocket pronto,Kiro,P1,Fase 3,- CRUD de notificações; preferências por usuário; entrega em tempo real via WebSocket; marcação read/unread; UI com contadores e filtros.
GAP-009,Frontend,Painel de notificações e preferências,Não implementado,Médio,ANALISE_COMPARATIVA_FUNCIONALIDADES_RENUM.md; RELATORIO_ANALISE_IMPLEMENTACAO_RENUM.md,GAP-008,Lovable,P2,Fase 3,- CRUD de notificações; preferências por usuário; entrega em tempo real via WebSocket; marcação read/unread; UI com contadores e filtros.
GAP-010,Backend,Validação avançada de payload e sanitização,Não implementado,Crítico,ANALISE_COMPARATIVA_FUNCIONALIDADES_RENUM.md,"Middlewares, Schemas",Kiro,P1,Fase 1,- Validação/sanitização em todas as rotas; headers de segurança; detecção básica de ataques; trilha de auditoria para eventos sensíveis.
GAP-011,Backend,"Detecção de ataques, IP filtering, headers de segurança",Não implementado,Alto,ANALISE_COMPARATIVA_FUNCIONALIDADES_RENUM.md,GAP-010,Kiro,P1,Fase 1,- Validação/sanitização em todas as rotas; headers de segurança; detecção básica de ataques; trilha de auditoria para eventos sensíveis.
GAP-012,Backend,Audit logs e trilhas de segurança,Não implementado,Alto,ANALISE_COMPARATIVA_FUNCIONALIDADES_RENUM.md,DB,Kiro,P1,Fase 1,- Validação/sanitização em todas as rotas; headers de segurança; detecção básica de ataques; trilha de auditoria para eventos sensíveis.
GAP-013,Backend,"Métricas de performance, usage tracking, health monitoring avançado",Não implementado,Crítico,ANALISE_COMPARATIVA_FUNCIONALIDADES_RENUM.md; RELATORIO_ANALISE_IMPLEMENTACAO_RENUM.md,Export para dashboard,Kiro,P1,Fase 3,"- Coleta de métricas (latência, throughput, erro); dashboard e alertas; APM e rastreamento de erros configurados."
GAP-014,DevOps,"APM, error tracking, alerting e dashboards",Não implementado,Alto,RELATORIO_ANALISE_IMPLEMENTACAO_RENUM.md,GAP-013,DevOps,P1,Fase 3,"- Coleta de métricas (latência, throughput, erro); dashboard e alertas; APM e rastreamento de erros configurados."
GAP-015,Backend,Compartilhamento de agentes com níveis de permissão,Não implementado,Alto,ANALISE_COMPARATIVA_FUNCIONALIDADES_RENUM.md,Auth/RBAC,Kiro,P2,Fase 4,"- Compartilhar por usuário/organização; níveis (Admin, Member, Viewer); links temporários; auditoria de acessos; UI de gestão."
GAP-016,Frontend,UI de compartilhamento e auditoria de acessos,Não implementado,Médio,ANALISE_COMPARATIVA_FUNCIONALIDADES_RENUM.md,GAP-015,Lovable,P2,Fase 4,"- Compartilhar por usuário/organização; níveis (Admin, Member, Viewer); links temporários; auditoria de acessos; UI de gestão."
GAP-017,Backend,"Painel/Admin service (user mgmt, system configs)",Não implementado,Médio,ANALISE_COMPARATIVA_FUNCIONALIDADES_RENUM.md,"RBAC, audit logs",Kiro,P2,Fase 4,- Painel admin com gestão de usuários/roles; configs do sistema; logs; RBAC firme; UI responsiva.
GAP-018,Frontend,UI Administrativa,Não implementado,Médio,ANALISE_COMPARATIVA_FUNCIONALIDADES_RENUM.md,GAP-017,Lovable,P2,Fase 4,- Painel admin com gestão de usuários/roles; configs do sistema; logs; RBAC firme; UI responsiva.
GAP-019,Backend,"Circuit breaker, retries, caching, pooling",Não implementado,Alto,ANALISE_COMPARATIVA_FUNCIONALIDADES_RENUM.md,Infra Redis/Cache,Kiro,P2,Fase 3,- Retries com backoff exponencial; circuit breaker com fallback; cache Redis para consultas quentes; pooling configurado.
GAP-020,DevOps,"SSL/HTTPS, load balancing, backups, migrations",Parcial,Crítico,RELATORIO_ANALISE_IMPLEMENTACAO_RENUM.md,Infra cloud,DevOps,P1,Fase 3,- TLS ativo; balanceador configurado; política de backup diário; migrações automatizadas; restore testado.
GAP-021,Backend,Gerenciamento de API Keys (CRUD + criptografia),Parcial,Alto,RELATORIO_ANALISE_IMPLEMENTACAO_RENUM.md,"DB, KMS/Secret",Kiro,P1,Fase 1,- CRUD de API Keys com criptografia; escopo por usuário/org; rotação; UI para gerar/revogar e copiar.
GAP-022,Frontend,Tela de API Keys,Não implementado,Médio,RELATORIO_ANALISE_IMPLEMENTACAO_RENUM.md,GAP-021,Lovable,P2,Fase 1,- CRUD de API Keys com criptografia; escopo por usuário/org; rotação; UI para gerar/revogar e copiar.
GAP-023,Database,"Tabelas para integrações, webhooks, analytics, RAG, notificações, métricas, auditoria",Não implementado,Crítico,ANALISE_COMPARATIVA_FUNCIONALIDADES_RENUM.md,Modelagem e migrações,DBA,P1,Fase 1/2/3,- Migrações criadas e versionadas; integridade referencial; índices adequados; RLS quando aplicável.
GAP-024,Frontend,Execution Details com logs em tempo real,Parcial,Alto,RELATORIO_ANALISE_IMPLEMENTACAO_RENUM.md,WebSocket,Lovable,P1,Fase 3,- UI funcional com testes de usabilidade; estados de loading/erro; cobertura mínima de testes 60%.
GAP-025,Frontend,Filtros avançados e operações em lote,Não implementado,Médio,RELATORIO_ANALISE_IMPLEMENTACAO_RENUM.md,--,Lovable,P2,Fase 3,- UI funcional com testes de usabilidade; estados de loading/erro; cobertura mínima de testes 60%.
GAP-026,Frontend,"Onboarding, help contextual, atalhos de teclado",Não implementado,Baixo,RELATORIO_ANALISE_IMPLEMENTACAO_RENUM.md,--,Lovable,P3,Fase 4,- UI funcional com testes de usabilidade; estados de loading/erro; cobertura mínima de testes 60%.
GAP-027,Frontend,Templates de equipes e histórico detalhado,Não implementado,Médio,RELATORIO_ANALISE_IMPLEMENTACAO_RENUM.md,API de templates,Lovable,P3,Fase 4,- UI funcional com testes de usabilidade; estados de loading/erro; cobertura mínima de testes 60%.
